SKIP | ID: 0 | Reason: Quality score (27) is sufficient.
SKIP | ID: 64 | Reason: Quality score (25) is sufficient.
SKIP | ID: 65 | Reason: Quality score (25) is sufficient.
SKIP | ID: 66 | Reason: Quality score (25) is sufficient.
SKIP | ID: 67 | Reason: Quality score (29) is sufficient.
SUCCESS | ID: 68 | New Score: 25
SKIP | ID: 69 | Reason: Quality score (32) is sufficient.
SUCCESS | ID: 70 | New Score: 28
SUCCESS | ID: 71 | New Score: 35
SUCCESS | ID: 72 | New Score: 28
SKIP | ID: 73 | Reason: Quality score (27) is sufficient.
SKIP | ID: 74 | Reason: Quality score (35) is sufficient.
SKIP | ID: 75 | Reason: Quality score (30) is sufficient.
SKIP | ID: 76 | Reason: Quality score (25) is sufficient.
SKIP | ID: 77 | Reason: Quality score (29) is sufficient.
SKIP | ID: 78 | Reason: Quality score (29) is sufficient.
SKIP | ID: 79 | Reason: Quality score (28) is sufficient.
SKIP | ID: 80 | Reason: Quality score (33) is sufficient.
SKIP | ID: 81 | Reason: Quality score (27) is sufficient.
SKIP | ID: 82 | Reason: Quality score (26) is sufficient.
SKIP | ID: 83 | Reason: Quality score (30) is sufficient.
SKIP | ID: 84 | Reason: Quality score (32) is sufficient.
SKIP | ID: 85 | Reason: Quality score (27) is sufficient.
SUCCESS | ID: 86 | New Score: 31
SKIP | ID: 88 | Reason: Quality score (25) is sufficient.
SKIP | ID: 89 | Reason: Quality score (27) is sufficient.
SKIP | ID: 90 | Reason: Quality score (31) is sufficient.
SUCCESS | ID: 91 | New Score: 27
SKIP | ID: 92 | Reason: Quality score (27) is sufficient.
SKIP | ID: 93 | Reason: Quality score (25) is sufficient.
SKIP | ID: 94 | Reason: Quality score (32) is sufficient.
SUCCESS | ID: 95 | New Score: 29
SKIP | ID: 96 | Reason: Quality score (26) is sufficient.
SKIP | ID: 97 | Reason: Quality score (29) is sufficient.
SKIP | ID: 98 | Reason: Quality score (26) is sufficient.
SKIP | ID: 99 | Reason: Quality score (28) is sufficient.
SKIP | ID: 100 | Reason: Quality score (30) is sufficient.
SKIP | ID: 101 | Reason: Quality score (28) is sufficient.
SKIP | ID: 102 | Reason: Quality score (30) is sufficient.
SKIP | ID: 103 | Reason: Quality score (29) is sufficient.
SKIP | ID: 104 | Reason: Quality score (27) is sufficient.
SKIP | ID: 105 | Reason: Quality score (31) is sufficient.
SKIP | ID: 106 | Reason: Quality score (27) is sufficient.
SKIP | ID: 107 | Reason: Quality score (26) is sufficient.
SKIP | ID: 108 | Reason: Quality score (31) is sufficient.
SKIP | ID: 109 | Reason: Quality score (25) is sufficient.
SKIP | ID: 110 | Reason: Quality score (31) is sufficient.
SKIP | ID: 111 | Reason: Quality score (31) is sufficient.
SUCCESS | ID: 112 | New Score: 33
SKIP | ID: 113 | Reason: Quality score (26) is sufficient.
SKIP | ID: 114 | Reason: Quality score (25) is sufficient.
SUCCESS | ID: 115 | New Score: 27
SUCCESS | ID: 116 | New Score: 25
SKIP | ID: 117 | Reason: Quality score (32) is sufficient.
SKIP | ID: 118 | Reason: Quality score (30) is sufficient.
SKIP | ID: 119 | Reason: Quality score (25) is sufficient.
SUCCESS | ID: 120 | New Score: 27
SKIP | ID: 121 | Reason: Quality score (27) is sufficient.
SKIP | ID: 122 | Reason: Quality score (32) is sufficient.
SKIP | ID: 123 | Reason: Quality score (31) is sufficient.
SKIP | ID: 124 | Reason: Quality score (26) is sufficient.
SUCCESS | ID: 125 | New Score: 35
SUCCESS | ID: 126 | New Score: 29
SKIP | ID: 127 | Reason: Quality score (28) is sufficient.
SKIP | ID: 128 | Reason: Quality score (31) is sufficient.
SKIP | ID: 129 | Reason: Quality score (28) is sufficient.
SKIP | ID: 130 | Reason: Quality score (28) is sufficient.
SKIP | ID: 131 | Reason: Quality score (29) is sufficient.
SKIP | ID: 132 | Reason: Quality score (32) is sufficient.
SUCCESS | ID: 133 | New Score: 27
SKIP | ID: 134 | Reason: Quality score (31) is sufficient.
SKIP | ID: 135 | Reason: Quality score (27) is sufficient.
SUCCESS | ID: 136 | New Score: 27
SKIP | ID: 137 | Reason: Quality score (31) is sufficient.
SKIP | ID: 138 | Reason: Quality score (25) is sufficient.
SKIP | ID: 139 | Reason: Quality score (27) is sufficient.
SUCCESS | ID: 140 | New Score: 25
SKIP | ID: 141 | Reason: Quality score (25) is sufficient.
SKIP | ID: 142 | Reason: Quality score (25) is sufficient.
SKIP | ID: 143 | Reason: Quality score (27) is sufficient.
SKIP | ID: 144 | Reason: Quality score (26) is sufficient.
SKIP | ID: 145 | Reason: Quality score (29) is sufficient.
SKIP | ID: 146 | Reason: Quality score (27) is sufficient.
SKIP | ID: 147 | Reason: Quality score (25) is sufficient.
SKIP | ID: 148 | Reason: Quality score (32) is sufficient.
SKIP | ID: 149 | Reason: Quality score (33) is sufficient.
SUCCESS | ID: 150 | New Score: 33
SKIP | ID: 151 | Reason: Quality score (26) is sufficient.
SKIP | ID: 152 | Reason: Quality score (29) is sufficient.
SKIP | ID: 153 | Reason: Quality score (28) is sufficient.
SKIP | ID: 154 | Reason: Quality score (30) is sufficient.
SKIP | ID: 155 | Reason: Quality score (31) is sufficient.
SKIP | ID: 156 | Reason: Quality score (25) is sufficient.
SUCCESS | ID: 157 | New Score: 33
SUCCESS | ID: 158 | New Score: 27
SKIP | ID: 159 | Reason: Quality score (28) is sufficient.
SUCCESS | ID: 160 | New Score: 33
SKIP | ID: 161 | Reason: Quality score (25) is sufficient.
SKIP | ID: 162 | Reason: Quality score (27) is sufficient.
SUCCESS | ID: 163 | New Score: 31
SKIP | ID: 164 | Reason: Quality score (29) is sufficient.
SUCCESS | ID: 165 | New Score: 31
SUCCESS | ID: 166 | New Score: 32
SUCCESS | ID: 167 | New Score: 31
SUCCESS | ID: 168 | New Score: 33
SKIP | ID: 169 | Reason: Quality score (32) is sufficient.
SKIP | ID: 170 | Reason: Quality score (25) is sufficient.
SKIP | ID: 171 | Reason: Quality score (28) is sufficient.
SKIP | ID: 172 | Reason: Quality score (26) is sufficient.
SUCCESS | ID: 173 | New Score: 33
SKIP | ID: 174 | Reason: Quality score (31) is sufficient.
SKIP | ID: 175 | Reason: Quality score (28) is sufficient.
SKIP | ID: 176 | Reason: Quality score (28) is sufficient.
SKIP | ID: 177 | Reason: Quality score (27) is sufficient.
SUCCESS | ID: 178 | New Score: 31
SUCCESS | ID: 179 | New Score: 28
SKIP | ID: 180 | Reason: Quality score (27) is sufficient.
SKIP | ID: 181 | Reason: Quality score (28) is sufficient.
SUCCESS | ID: 182 | New Score: 33
SKIP | ID: 183 | Reason: Quality score (28) is sufficient.
SKIP | ID: 184 | Reason: Quality score (25) is sufficient.
SUCCESS | ID: 185 | New Score: 27
SKIP | ID: 186 | Reason: Quality score (27) is sufficient.
SUCCESS | ID: 187 | New Score: 27
SKIP | ID: 188 | Reason: Quality score (28) is sufficient.
SKIP | ID: 189 | Reason: Quality score (25) is sufficient.
SKIP | ID: 190 | Reason: Quality score (25) is sufficient.
SKIP | ID: 191 | Reason: Quality score (28) is sufficient.
SUCCESS | ID: 192 | New Score: 6
SKIP | ID: 193 | Reason: Quality score (28) is sufficient.
SKIP | ID: 194 | Reason: Quality score (27) is sufficient.
SKIP | ID: 195 | Reason: Quality score (31) is sufficient.
SUCCESS | ID: 196 | New Score: 13
SKIP | ID: 197 | Reason: Quality score (28) is sufficient.
SKIP | ID: 198 | Reason: Quality score (27) is sufficient.
SKIP | ID: 199 | Reason: Quality score (31) is sufficient.
